iter	MultiClass
0	1.091766398
1	1.085218857
2	1.078969213
3	1.072946527
4	1.067415742
5	1.06282982
6	1.058585087
7	1.05506966
8	1.051205013
9	1.047560715
10	1.044321018
11	1.041376835
12	1.038952077
13	1.0360468
14	1.033341324
15	1.031356694
16	1.029373395
17	1.027331131
18	1.025613045
19	1.024096738
20	1.022172285
21	1.020591625
22	1.019039018
23	1.017775654
24	1.016815955
25	1.015449471
26	1.014554572
27	1.013483059
28	1.012530664
29	1.011410073
30	1.0107266
31	1.010036483
32	1.00908302
33	1.008125099
34	1.00771378
35	1.007051743
36	1.006141348
37	1.005317748
38	1.004496006
39	1.003753112
40	1.002899468
41	1.002366962
42	1.001496448
43	1.000945495
44	1.000237731
45	0.9998118882
46	0.9995492872
47	0.9989606802
48	0.9984117646
49	0.998052465
50	0.9977825358
51	0.9973922241
52	0.9966475556
53	0.9960508968
54	0.995688698
55	0.9953884945
56	0.9949344521
57	0.9943834724
58	0.9939934064
59	0.9935130615
60	0.9932139018
61	0.9927317118
62	0.9924148138
63	0.9921379461
64	0.9918079497
65	0.9910709854
66	0.990716863
67	0.9905000447
68	0.9902131661
69	0.9898609325
70	0.9895703097
71	0.9893680403
72	0.9887654753
73	0.9885757304
74	0.9880812478
75	0.9877043205
76	0.9871811698
77	0.9869290764
78	0.9865752213
79	0.9861159505
80	0.98582741
