iter	Passed	Remaining
0	202	60613
1	205	30560
2	207	20500
3	209	15476
4	211	12457
5	213	10470
6	215	9032
7	217	7945
8	219	7103
9	221	6428
10	223	5874
11	225	5420
12	228	5039
13	230	4705
14	232	4414
15	234	4160
16	236	3935
17	238	3734
18	240	3555
19	242	3393
20	244	3250
21	246	3117
22	248	2995
23	250	2882
24	252	2778
25	254	2682
26	257	2600
27	260	2526
28	262	2448
29	263	2375
30	265	2305
31	267	2240
32	269	2181
33	271	2125
34	273	2073
35	275	2023
36	277	1975
37	279	1929
38	281	1885
39	283	1844
40	285	1805
41	287	1768
42	290	1734
43	292	1699
44	294	1667
45	296	1635
46	298	1604
47	301	1580
48	303	1553
49	305	1528
50	307	1501
51	309	1475
52	311	1451
53	313	1427
54	315	1404
55	317	1382
56	319	1362
57	321	1342
58	323	1322
59	325	1303
60	327	1284
61	329	1265
62	331	1247
63	333	1231
64	336	1215
65	338	1198
66	340	1182
67	342	1167
68	344	1151
69	347	1140
70	350	1129
71	353	1117
72	355	1106
73	358	1096
74	361	1085
75	364	1075
76	367	1065
77	370	1053
78	372	1041
79	374	1029
80	376	1017
