id,home,away,date,home_score,away_score,result,league,country
75641308,Hangzhou Linping Wuyue,Jiangxi Lushan,,,,,,
75758244,France,Maroc,,,,,,
75583448,Dinamo Minsk,Sileks Kratovo,,,,,,
75897902,Maxline Vitebsk,Universitatea Craiova,,,,,,
74051664,Petrocub Hincesti,KF Egnatia,,,,,,
75991977,Olympiakos,RKS Rakow Czestochowa,,,,,,
75910818,FK Velez Mostar,Milsami Orhei,,,,,,
75615496,Bohemians Dublin,St Josephs FC,,,,,,
75612946,Sheriff Tiraspol,Aluminij Kidricevo,,,,,,
74248904,Mondorf-les-Bains,Dinamo Tbilissi,,,,,,
74248903,Caernarfon Town FC,Levadia Tallinn,,,,,,
74052255,Hajduk Split,MSK Zilina,,,,,,
74052355,FK Vojvodina,Ferencvaros,,,,,,
75890365,Glentoran FC,FC Riga FS,,,,,,
74643268,Austria Vienne,Dac 1904 Dunajska Streda,,,,,,
74746097,TSV Hartberg,Zbrojovka Brno,,,,,,
74746110,FC Lausanne-Sport,CR Flamengo RJ,,,,,,
75641329,NK Slaven Belupo,AFK Csikszereda Miercurea Ciuc,,,,,,
75641397,Heracles Almelo,FC Groningue,,,,,,
76002738,Paphos FC,FK Jablonec,,,,,,
75641360,NAC Breda,FC Eindhoven,,,,,,
75993166,Fenerbahce,Admira Wacker,,,,,,
74051965,Flora Tallinn,FC Iberia,,,,,,
74052404,Nomme Kalju,Linfield FC,,,,,,
74082335,FC Differdange 03,Ilves Tampere,,,,,,
75202433,Marsaxlokk FC,FC Pyunik,,,,,,
74052461,Europa FC,FC Shkëndija,,,,,,
74142190,NSI Runavik,Hamrun Spartans,,,,,,
75993178,KS Warta Sieradz,LKS Lodz II,,,,,,
75993197,Zawisza Bydgoszcz,Polonia Sroda Wielkopolska,,,,,,
74082339,Dila Gori,AC Virtus,,,,,,
74051966,Qarabag FK,IF Vestri,,,,,,
74248901,FC Dynamo Kiev,Universitatea Cluj,,,,,,
74052256,CSKA Sofia,Derry City,,,,,,
68522237,Shandong Taishan FC,Yunnan Yukun,,,,,,
72284891,Dundalk FC,Drogheda United,,,,,,
74996797,Waterford FC,St Patricks Athletic,,,,,,
75969252,Espagne,Belgique,,,,,,
73049145,FC Gwangju,FC Pohang Steelers,,,,,,
68605904,Zhejiang FC,Qingdao Hainiu FC,,,,,,
68609567,Chengdu Rongcheng,Chongqing Tonglianglong FC,,,,,,
72386099,Mjällby AIF,AIK Solna,,,,,,
72459284,Aalesund FK,Molde FK,,,,,,
72386096,IF Gnistan,IFK Mariehamn,,,,,,
72386098,Orgryte IS,BK Häcken,,,,,,
72459283,Tromso IL,Valerenga IF,,,,,,
74996796,Galway United,Sligo Rovers,,,,,,
75873530,Norvège,Angleterre,,,,,,
74052467,FC Hegelmann Kaunas,Paide Linnameeskond,,,,,,
75833966,Espagne,Croatie,,,,,,
75993169,Arminia Bielefeld,FC Gutersloh 2000,,,,,,
75641320,MKS Kluczbork,Zaglebie Sosnowiec,,,,,,
75641319,Aarhus Fremad,Silkeborg IF,,,,,,
75993132,MKS Pogon Szczecin,Chrobry Glogow,,,,,,
76024483,NEC Nimègue,MSV Duisbourg,,,,,,
75641321,Budapest Honved FC,Soroksar SC,,,,,,
75993131,Csa Steaua Bucuresti,Concordia Chiajna,,,,,,
75641318,Shanxi Chongde Ronghai,Dalian Kewei,,,,,,
